NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(mcg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vit_B6_(mg),Vit_B12_(mcg),Vit_A_IU,Vit_A_RAE,Vit_E_(mg),Vit_D_mcg,Vit_D_IU,Vit_K_(mcg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
01194,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,77.7,91,4.7,1.3,1.2,15.1,0,7.2,141,0.05,,116,219,72,,,,,1.2,,,,,,679,,,,,,0.8,,,9
01199,CREAM HALF & HALF FAT FREE,86,59,2.6,1.4,1,9,0,5,96,0,16,151,206,100,0.81,0.016,0.002,2.9,0.7,0.056,0.237,0.124,0.062,0.52,43,12,0.04,0,0,0.2,0.841,0.384,0.052,5
01200,REDDI WIP FAT FREE WHIPPED TOPPING,66.44,149,3,5,0.56,25,0.4,16,108,0.03,8,68,108,72,0.31,0.019,,3,0,0.148,0.619,0.364,0.123,1.48,175,49,0.09,0,0,0.3,2.869,1.25,0.299,16
01202,MILK CHOC FLUID COMM RED FAT W/ ADDED CA,82.17,78,2.99,1.9,0.81,12.13,0.7,9.55,194,0.24,14,76,123,66,0.39,0.075,0.062,3.4,0,0.045,0.565,0.164,0.024,0.33,227,64,0.04,,,0.2,1.177,0.455,0.089,8
01203,YOGURT FRUIT LOFAT W/LO CAL SWEETENER,74.1,105,4.86,1.41,1.03,18.6,0,2.9,152,0.07,16,133,194,58,0.82,0.08,0.065,3.1,0.7,0.041,0.18,0.105,0.045,0.52,443,131,0.06,0,1,1.2,0.909,0.387,0.04,6
01204,CHEESE PARMESAN DRY GRATED RED FAT,50.6,265,20,20,8.03,1.37,0,0,1109,0.9,38,729,125,1529,3.87,0.238,0.085,17.7,0,0.029,0.486,0.114,0.049,2.26,605,160,0.17,0.4,15,1.7,13.317,6.098,0.462,88
01205,CREAM SUB FLAV LIQ,50.06,251,0.69,13.5,0.55,35.07,1.1,33.04,6,0.59,19,28,96,67,0.25,0.142,0.142,0.7,0,0.004,0.024,0.091,0.004,0,0,0,1.58,0,0,3.3,2.635,4.002,6.269,0
01206,CREAM SUB FLAV PDR,1.52,482,0.68,21.47,0.79,75.42,1.2,58.01,5,0.63,17,28,90,123,0.23,0.135,0.14,1.3,0,0.004,0.027,0.084,0.004,0,0,0,0.41,0,0,9.1,19.446,0.618,0.229,0
01208,CHEESE PROVOLONE RED FAT,50.6,274,24.7,17.6,3.6,3.5,0,0.55,756,0.52,28,496,138,615,3.23,0.026,0.01,14.5,0,0.019,0.321,0.156,0.073,1.46,532,141,0.15,0.3,13,1.5,11.3,4.89,0.51,55
01209,CHEESE MEXICAN BLEND RED FAT,48.2,282,24.69,19.4,4.3,3.41,0,0.56,1146,0.13,35,583,93,776,4.3,0.021,,15.5,0,0.03,0.3,0.06,0.084,1.66,586,155,0.17,0.4,14,1.6,11.58,5.02,0.75,62
